product_id,product_name,category,brand,price,rating,stock,discount,is_available
1,Culpa,Fashion,Boat,55802,1.1,105,13,True
2,Alias,Electronics,Dell,26562,3.9,728,34,False
3,Harum,Beauty,HP,77736,2.1,900,0,True
4,Exercitationem,Toys,Puma,36921,1.6,990,48,False
5,Et,Fashion,Apple,50297,1.4,877,22,False
6,Deserunt,Electronics,HP,70784,1.5,954,24,True
7,Corporis,Sports,Boat,47900,3.3,731,4,True
8,Veritatis,Beauty,Adidas,10958,4.4,897,6,False
9,Quisquam,Sports,HP,83820,4.3,176,23,False
10,Commodi,Beauty,Adidas,92488,4.7,673,4,True
11,Rerum,Beauty,Sony,61089,2.5,957,40,True
12,Nisi,Books,Samsung,30521,4.3,834,20,False
13,Aliquid,Sports,Apple,28153,4.7,590,45,False
14,Aliquam,Beauty,HP,52356,4.5,668,29,True
15,Consectetur,Sports,Sony,32825,4.0,561,16,False
16,Esse,Toys,Puma,29246,5.0,151,32,False
17,Eveniet,Fashion,Samsung,14871,1.6,173,50,False
18,Quae,Fashion,LG,50519,3.4,489,33,False
19,Sed,Electronics,Apple,89853,4.5,778,17,False
20,Alias,Fashion,Adidas,57485,1.6,13,46,False
21,Ratione,Home & Kitchen,Dell,14447,4.5,315,40,True
22,Eius,Home & Kitchen,Puma,21674,3.2,807,33,True
23,Totam,Books,HP,3052,1.4,381,19,True
24,Voluptates,Electronics,Nike,74864,4.8,97,46,False
25,Quisquam,Fashion,Dell,16983,1.5,496,35,True
26,Nihil,Sports,Dell,80007,2.7,226,34,True
27,Est,Sports,LG,88539,3.6,458,33,False
28,Occaecati,Fashion,Nike,29951,1.3,31,37,True
29,Repudiandae,Beauty,Samsung,9805,3.8,70,14,True
30,Hic,Electronics,Puma,9787,3.1,295,42,False
31,Ab,Beauty,Dell,17842,3.9,913,36,False
32,Dolore,Beauty,HP,53854,1.8,109,42,False
33,Voluptatem,Books,LG,54383,2.9,756,3,True
